   UT, hrs       ALT, km       Ne, el/m^3  
    10.30          430.0     2.578e+10 
    10.30          435.0     2.638e+10 
    10.30          440.0     2.706e+10 
    10.30          445.0     2.716e+10 
    10.30          450.0     2.618e+10 
    10.30          455.0     2.410e+10 
    10.30          460.0     2.198e+10 
    10.30          465.0     2.043e+10 
    10.30          470.0     1.997e+10 
    10.30          475.0     2.048e+10 
    10.30          480.0     2.170e+10 
    10.30          485.0     2.263e+10 
    10.30          490.0     2.308e+10 
    10.30          495.0     2.296e+10 
    10.30          500.0     2.239e+10 
    10.30          505.0     2.168e+10 
    10.30          510.0     2.092e+10 
    10.30          515.0     2.031e+10 
    10.30          520.0     1.987e+10 
    10.30          525.0     1.942e+10 
    10.30          530.0     1.886e+10 
    10.30          535.0     1.813e+10 
    10.30          540.0     1.719e+10 
    10.30          545.0     1.614e+10 
    10.30          550.0     1.528e+10 
    10.30          555.0     1.464e+10 
    10.30          560.0     1.420e+10 
    10.30          565.0     1.434e+10 
    10.30          570.0     1.567e+10 
    10.30          575.0     1.810e+10 
    10.30          580.0     2.137e+10 
    10.30          585.0     2.328e+10 
    10.30          590.0     2.584e+10 
    10.30          595.0     2.831e+10 
    10.30          600.0     3.035e+10 
    10.40           90.0     2.557e+10 
    10.40           95.0     2.298e+10 
    10.40          100.0     2.550e+10 
    10.40          105.0     2.900e+10 
    10.40          110.0     3.065e+10 
    10.40          115.0     3.254e+10 
    10.40          120.0     3.530e+10 
    10.40          125.0     3.702e+10 
    10.40          130.0     3.796e+10 
    10.40          135.0     4.035e+10 
    10.40          140.0     4.410e+10 
    10.40          145.0     4.600e+10 
    10.40          150.0     4.885e+10 
    10.40          155.0     5.056e+10 
    10.40          160.0     5.370e+10 
    10.40          165.0     5.528e+10 
    10.40          170.0     5.963e+10 
    10.40          175.0     6.241e+10 
    10.40          180.0     6.652e+10 
    10.40          185.0     6.911e+10 
    10.40          190.0     7.348e+10 
    10.40          195.0     7.769e+10 
    10.40          200.0     8.201e+10 
    10.40          205.0     8.583e+10 
    10.40          210.0     8.643e+10 
    10.40          215.0     8.733e+10 
    10.40          220.0     8.910e+10 
    10.40          225.0     9.112e+10 
    10.40          230.0     9.283e+10 
    10.40          235.0     9.723e+10 
    10.40          240.0     1.005e+11 
    10.40          245.0     1.022e+11 
    10.40          250.0     1.031e+11 
    10.40          255.0     1.035e+11 
    10.40          260.0     1.033e+11 
    10.40          265.0     1.026e+11 
    10.40          270.0     1.017e+11 
    10.40          275.0     1.006e+11 
    10.40          280.0     9.906e+10 
    10.40          285.0     9.694e+10 
    10.40          290.0     9.440e+10 
    10.40          295.0     9.132e+10 
    10.40          300.0     8.757e+10 
    10.40          305.0     8.355e+10 
    10.40          310.0     7.931e+10 
    10.40          315.0     7.520e+10 
    10.40          320.0     7.145e+10 
    10.40          325.0     6.818e+10 
    10.40          330.0     6.540e+10 
    10.40          335.0     6.312e+10 
    10.40          340.0     6.100e+10 
    10.40          345.0     5.890e+10 
    10.40          350.0     5.677e+10 
    10.40          355.0     5.461e+10 
    10.40          360.0     5.239e+10 
    10.40          365.0     5.010e+10 
    10.40          370.0     4.787e+10 
    10.40          375.0     4.580e+10 
    10.40          380.0     4.386e+10 
    10.40          385.0     4.206e+10 
    10.40          390.0     4.036e+10 
    10.40          395.0     3.864e+10 
    10.40          400.0     3.683e+10 
    10.40          405.0     3.503e+10 
    10.40          410.0     3.334e+10 
    10.40          415.0     3.179e+10 
    10.40          420.0     3.051e+10 
    10.40          425.0     2.995e+10 
    10.40          430.0     3.001e+10 
    10.40          435.0     3.062e+10 
    10.40          440.0     3.117e+10 
    10.40          445.0     3.110e+10 
    10.40          450.0     3.000e+10 
    10.40          455.0     2.787e+10 
    10.40          460.0     2.578e+10 
    10.40          465.0     2.438e+10 
    10.40          470.0     2.411e+10 
    10.40          475.0     2.479e+10 
    10.40          480.0     2.601e+10 
    10.40          485.0     2.672e+10 
    10.40          490.0     2.683e+10 
    10.40          495.0     2.641e+10 
    10.40          500.0     2.570e+10 
    10.40          505.0     2.510e+10 
    10.40          510.0     2.460e+10 
    10.40          515.0     2.404e+10 
    10.40          520.0     2.334e+10 
    10.40          525.0     2.244e+10 
    10.40          530.0     2.134e+10 
    10.40          535.0     2.016e+10 
    10.40          540.0     1.913e+10 
    10.40          545.0     1.828e+10 
    10.40          550.0     1.763e+10 
    10.40          555.0     1.718e+10 
    10.40          560.0     1.679e+10 
    10.40          565.0     1.676e+10 
    10.40          570.0     1.764e+10 
    10.40          575.0     1.939e+10 
    10.40          580.0     2.198e+10 
    10.40          585.0     2.344e+10 
    10.40          590.0     2.546e+10 
    10.40          595.0     2.746e+10 
    10.40          600.0     2.938e+10 
    10.50           90.0     2.830e+10 
    10.50           95.0     2.593e+10 
    10.50          100.0     2.859e+10 
    10.50          105.0     3.201e+10 
    10.50          110.0     3.384e+10 
    10.50          115.0     3.585e+10 
    10.50          120.0     3.848e+10 
    10.50          125.0     3.986e+10 
    10.50          130.0     4.062e+10 
    10.50          135.0     4.277e+10 
    10.50          140.0     4.660e+10 
    10.50          145.0     4.967e+10 
    10.50          150.0     5.303e+10 
    10.50          155.0     5.568e+10 
    10.50          160.0     5.972e+10 
    10.50          165.0     6.204e+10 
    10.50          170.0     6.594e+10 
    10.50          175.0     6.906e+10 
    10.50          180.0     7.327e+10 
    10.50          185.0     7.593e+10 
    10.50          190.0     8.046e+10 
    10.50          195.0     8.524e+10 
    10.50          200.0     9.008e+10 
    10.50          205.0     9.399e+10 
    10.50          210.0     9.422e+10 
    10.50          215.0     9.473e+10 
    10.50          220.0     9.607e+10 
    10.50          225.0     9.773e+10 
    10.50          230.0     9.926e+10 
    10.50          235.0     1.038e+11 
    10.50          240.0     1.072e+11 
    10.50          245.0     1.089e+11 
    10.50          250.0     1.098e+11 
    10.50          255.0     1.103e+11 
    10.50          260.0     1.102e+11 
    10.50          265.0     1.096e+11 
    10.50          270.0     1.088e+11 
    10.50          275.0     1.078e+11 
    10.50          280.0     1.062e+11 
    10.50          285.0     1.040e+11 
    10.50          290.0     1.013e+11 
    10.50          295.0     9.807e+10 
    10.50          300.0     9.419e+10 
    10.50          305.0     9.012e+10 
    10.50          310.0     8.593e+10 
    10.50          315.0     8.194e+10 
    10.50          320.0     7.832e+10 
    10.50          325.0     7.515e+10 
    10.50          330.0     7.243e+10 
    10.50          335.0     7.011e+10 
    10.50          340.0     6.787e+10 
    10.50          345.0     6.557e+10 
    10.50          350.0     6.322e+10 
    10.50          355.0     6.076e+10 
    10.50          360.0     5.825e+10 
    10.50          365.0     5.569e+10 
    10.50          370.0     5.329e+10 
    10.50          375.0     5.106e+10 
    10.50          380.0     4.905e+10 
